Country,PWT_Code,WDI_Code,pop75,pop09,gpop,k1975,k2009,kpw1975,kpw2009,hc1975,hc2009,rgdpwk1975,rgdpwk2009,rgdpch1950,rgdpch1955,rgdpch1960,rgdpch1965,rgdpch1970,rgdpch1975,rgdpch1980,rgdpch1985,rgdpch1990,rgdpch1995,rgdpch2000,rgdpch2005,rgdpch2006,rgdpch2007,rgdpch2008,rgdpch2009,gy7509,prodgrowth,ki1975,ki2009,meanki,natsav09,grodomsav75,grodomsav09,govsp75,govsp09,privcap75,privcap09,fdi75,fdi09,imports75,imports09,trade75,trade09,openfrac,tradetax09,martax09,migration10,labfor75,labfor09,labpop75,labpop09,indgdp75,indgdp09,agrigdp75,agrigdp09,aggdpperagworker09,percemployagr10,natcap00,mindep09,endep09,fordep09,co2emm07,tfr75,tfr09,infmor09,malaria94,malariaecology,calories07,lifeex75,lifeex09,agedep75,agedep09,avgsch75,avgsch2010,secsch09,collegeadultpop2010,compcollegeadultpop2010,avgyrsfemaleed,testscores09,intuser09,tele09,cells09,comp05,gini75,gini09,topincsh09,botincsh09,laborshare,ethnicfractionalization,rulelaw2009,corrcon09,polrights10,instability,soccapability,thrift,obedience,perseverance,faith,techvstrad,trust,work,wellbeing,africa,asia,westerneurope,latitude,area,popden60,A__missing_values
Afghanistan,AFG,AFG,14100000,25400000,1.731101108,,46265779365,,5650.569479,1.183934,1.787508,2569.819624,3092.436884,,,,,857.8752,850.4346,802.6164,981.5204,704.7375,447.9604,382.7573,666.4922,687.7258,736.4971,1008.908,1169.653,0.937396734,,8.622736,17.91727,15.69697,-8.630006,8.169008733,,,,,,,1.277380952,14.27230078,,26.94835763,,,4.844041335,,1000000,4666136,9607046.905,33.09316312,37.82301931,,22.11644642,,32.52749429,,59.7382972,3892,,,,0.025282402,7.692,6.482,133.7,59.27456021,0.032947,,37.31946341,44.29802439,88.4082987,93.53149182,0.6234,3.3314,43.81088,8.3,5.3,1.3242,,3.355397954,0.433946907,40.26477545,,,29.4,38.7,9,,,-2.044754928,-1.570197156,6,2.753123723,,,,,,,,,,,1,,33.78231,646212,,38
Albania,ALB,ALB,2401108,2983000,0.638232965,,57696527627,,42519.88716,2.304586,2.890475,7055.313834,13806.29787,,,,,2465.507,2696.003,2946.324,2965.17,2811.203,2740.258,3520.01,5030.596,5500.799,6018.514,6485.187,6643.011,2.65233829,,43.0758,34.13416,32.24572,16.52964,,7.438592278,,9.643693874,,7.986907277,,8.139282584,,54.37546521,,83.02747375,0.228571429,,,-75000,917520.4,1435294.385,38.21237529,48.11580238,,19.70238583,,20.76402514,,41.7797412,13200,0,1.272862484,0,1.353329558,4.454,1.854,13.5,0,0.014483,2904,68.32582927,76.75365854,79.93286247,49.42123814,6.1775,10.3798,72.35554,7.6,4.9,10.1589,384,41.20089843,11.50455856,131.8940592,11.7,,34.51,43.02,8.14,,0.22042599,-0.51550348,-0.397203514,3,0.070945094,,60.9,56,46.8,33.1,63.5,25.6,4.4,47.6,,,,41.143261,27899.96,,21
Algeria,DZA,DZA,16100000,34200000,2.215901094,2.041E+11,7.30775E+11,52523.94137,50246.45901,1.408565,2.384796,16840.6333,13988.20095,,,4078.731,3376.627,4025.37,4064.604,4830.983,5174.042,4961.888,4517.033,4933.501,5899.726,5961.409,6064.844,6162.276,6069.556,1.179320984,-1.534800527,50.55764,32.01746,36.16523,43.75,36.13016379,45.46888074,14.35674051,13.90400101,,,0.764883026,2.024875753,42.96559919,36.11696785,76.65453533,76.52058393,,4.450329053,,-140000,3885847,14839564.86,24.13569565,43.39054053,50.21293835,54.54121225,10.41840822,11.73265327,929.6294138,20.8706208,,0.14618214,16.73396058,0.068892509,4.135046645,7.332,2.342,29,0,0.013411,3104.333333,56.19556098,72.6227561,107.439312,46.91685292,1.1991,7.0382,,8.5,5.4,5.8843,,13.46879695,7.382519851,93.79390505,10.65,,,,,0.61000001,0.33939999,-0.731560399,-0.49056125,6,1.197214956,0.18000001,17.9,56.2,17.5,76.8,,11.2,4.6,65.43333333,1,,,28.14225,2309484,0.045345001,14
Angola,AGO,AGO,5885455,12800000,2.285179759,,1.01034E+11,,17638.28109,,,5839.235212,7352.13915,,,,,2450.131,2617.561,2087.051,2121.789,2358.585,1997.204,2335.857,3108.686,3673.824,4354.973,4848.87,4754.679,1.755547699,,22.45351,23.93546,22.35256,29.06977,,20.82114463,,,,2.26304136,,2.921199827,,46.23068857,,98.46368114,,,,80000,2638280,8277848.115,44.82712042,64.6706884,,59.04620368,,10.20254813,120.5304142,69.2886853,1500,0,29.06922716,0,1.40948886,7.185,5.637,98.1,100,4.8149209,,39.06556098,47.55165854,95.77169029,90.21550165,,,,,,,,3.283663552,1.639015199,43.84031967,1.85,,58.64,61.86,2,,,-1.193690377,-1.336625966,,0.240910597,,,,,,,,,,1,,,-12.35773,1235014,0.038629983,42
Antigua and Barbuda,ATG,ATG,68041,85700,0.678654003,,4113528233,,,,,,,,,,,4638.478,5482.935,6658.841,9163.151,11753.2,12816.81,13898.33,14919.83,15747.92,17445.12,17230.24,15091.07,2.977831284,,9.744028,39.97067,19.88515,55.15813,,55.1581276,,19.37226746,,10.27370193,,11.43872189,,68.19678247,,115.7198209,,,,,,,,,,28.08948126,,3.559088566,1503.459947,20.2247191,10312,0,0,,5.091206315,2.4298,,10.5,,,2319,,,,,,,110.45566,,,,,74.20091324,42.6369863,154.0239726,,,,,,,,0.984691559,1.356136548,3,-0.75242958,,,,,,,,,,,,,17.049999,,,58
Argentina,ARG,ARG,26100000,40900000,1.321161026,5.348E+11,1.10592E+12,49981.30841,55566.55061,2.3043,2.751216,19916.66607,24961.34421,5421.201,5685.36,6243.574,6872.2,7810.615,8165.07,8638.516,7294.293,6822.321,8577.791,9171.565,9974.546,10655.16,11346.22,11852.82,11961.4,1.122998526,0.212598194,23.3694,22.66619,20.58876,26.22833,29.28621613,26.26944583,12.58917764,15.19059279,,0.106690516,0.106009598,1.27036467,5.978672496,16.00235093,11.8027243,37.35352484,0.257142857,,,30000,10700000,19599155.23,40.99616858,47.91969494,50.14132368,31.79877569,6.583910492,7.503740462,5328.306717,7.7066837,,0.320990812,4.541421555,0,4.64865106,3.321,2.223,13,0.284740003,0.064773001,3001,68.04795122,75.5175122,58.49110313,55.56560308,6.4181,9.2802,,10.9,3.3,9.4201,394.5,30.39995455,24.24274716,128.8373115,83.39,,45.77,50.46,4.11,,0.255,-0.663375138,-0.486609132,2,0.016068056,1.91,15.5,44.8,23.6,25.7,52.7,17.6,4.1,70.36666667,,,,-35.387058,2775401,0.075331897,7
Armenia,ARM,ARM,2834136,2967000,0.134747684,,28268011021,,18031.78661,2.961997,3.183514,,9777.623346,,,,,,,,,,1914.973,2566.029,4541.284,5054.792,5604.295,5743.717,5368.109,,,,19.97361,,9.823772,,8.200660388,,11.18862425,,8.273303249,,8.922643393,,36.45059537,,48.4455295,0.142857143,3.475767477,,-75000,,1628941.803,,54.9019819,,34.56593366,,20.65317327,2541.264926,9.4174757,24167,0.45909014,0,0,1.644503898,2.745,1.748,19.6,0,0.005195,2250,70.5275122,73.73492683,67.09144452,46.16353609,8.6921,10.7911,93.06502,19.8,12.8,10.8996,,6.753269838,20.43496637,84.98351093,66.09,,30.86,39.8,8.78,,0.12715399,-0.398339124,-0.590637242,6,-0.089991101,,38.2,18,57.2,12.4,39.2,24.7,3.4,51.8,,1,,40.309669,30643.8,,30
Australia,AUS,AUS,13800000,21300000,1.276583766,6.207E+11,2.46394E+12,101176.3482,219099.4841,3.015697,3.269856,44332.1828,76176.42204,11301.17,12290.95,13116.9,15235.42,18166.63,19708.01,22100.47,24244.95,25751.63,28828.31,33210.24,38392.01,39332.23,40303.46,40690.41,41304.39,2.176304817,0.676012263,19.56792,32.08218,22.96981,26.19469,25.23168825,,16.46521885,,0.672999576,,0.465137697,2.440580144,14.66893703,,28.79912908,,1,2.030819109,,500000,6134833,11549288.92,44.45531159,54.22201371,38.6885463,,7.231729841,,15374.88445,3.9001488,7174,3.130251768,1.943561765,0,17.7358639,2.148,1.901,4.3,0,0.061836999,3186,72.62536585,81.54390244,56.89524569,48.50128566,10.7457,12.0377,,33.8,22.4,12.3784,520.5,72.03114529,41.23447421,110.7205062,682.86,34.330002,,,,0.68000001,0.092901997,1.727008739,2.030170617,1,-0.834825671,,35.3,39,49.6,21.1,41.4,46.1,3.1,78.76666667,,,,-25.84766,7662592,,12
Austria,AUT,AUT,7578903,8210000,0.235248404,3.306E+11,8.9263E+11,110385.3738,211648.4695,2.593624,2.940378,47997.05517,71466.62649,6280.219,8146.703,10632.79,12652.14,15851.21,18967.04,22289.61,24253.52,27807.2,29519.22,33699.06,35633.77,36808.63,38241.18,38997.74,37401.78,1.997104591,0.286627086,22.59582,21.22219,22.69662,26.24473,25.62015802,25.83319587,17.54389849,19.94536456,2.361964512,-1.798850732,0.198939775,2.286614001,29.2876987,45.9925667,58.38455179,96.52408283,1,6.92514E-05,,160000,2994962,4296671.452,39.51709106,52.33460965,37.9670017,29.15156247,6.250558975,1.529906513,12457.62088,3.3623465,,0.020856577,0.095763478,0,8.273232855,1.82,1.38984,3.3,0,0.001755,3760,71.08414634,80.08292683,61.58127742,47.58710963,6.9613,9.7655,,14.3,9.5,8.8768,495,73.45228623,38.89243247,140.7564118,606.8,,29.148,37.7878262,8.561137092,0.69999999,0.1067762,1.758410427,1.753157933,1,-1.127848702,,47.6,16.7,35.6,20.4,,33.9,,75.16666667,,,1,47.598339,84905.64,,6
Azerbaijan,AZE,AZE,5696117,8239000,1.085571361,,91394736353,,23232.2845,,,,,,,,,,,,,,,,,,,,,,,,12.13797,,43.92357,,49.66467699,,13.67406739,,0.019488878,,1.100212727,,24.77394037,,77.26874126,0.142857143,,,-50000,,4192795.563,,50.88961722,,60.03049503,,8.19839803,688.6336951,22.7893441,,0,32.73475191,0.000348416,3.699737802,3.95,2.3,29.6,0,0.037179999,2996,65.18743902,70.44312195,83.79219485,44.6857701,,,99.35812,,,,402,42.01011263,15.91269886,88.3388186,23.21,,33.71,42.08,7.99,,0.20467199,-0.812674933,-1.099598334,6,0.390794614,,59.3,24.8,47,18.6,48.9,20.5,3.2,62.76666667,,1,,40.27108,87881.22,,47
