x,y
8.115073275,8.90924522
8.207212531,8.953790175
8.483592349,8.991175758
8.498545928,8.995809564
8.515217739,8.995972077
8.549057518,9.037650454
8.581399063,9.052119306
8.693152746,9.071289902
8.714410228,9.084242397
8.729248779,9.087785445
8.742784376,9.114549549
8.76150926,9.115337989
8.807760091,9.12054024
8.810525234,9.135660478
8.819242328,9.140808124
8.819296885,9.14099138
8.849862552,9.141491126
8.851326638,9.154200344
8.854629692,9.168597564
8.860856697,9.175329632
8.866219618,9.176562092
8.899587792,9.176987571
8.907175592,9.180008155
8.907950748,9.180646296
8.911878425,9.183116577
8.920379015,9.192431864
8.923347876,9.195106786
8.934177825,9.196658337
8.934203031,9.204361718
8.936684849,9.209426225
8.939521321,9.211460675
8.948110106,9.211820885
8.952349042,9.212917965
8.966200813,9.213784306
8.969020817,9.216914647
8.977029103,9.220406354
8.977067583,9.223816312
8.979697444,9.229875075
8.986495233,9.230641983
8.991794415,9.232607735
8.995354915,9.234538732
8.999996184,9.243649901
9.003674467,9.244325537
9.004134746,9.249767624
9.010169572,9.254365569
9.020152401,9.257059333
9.031927272,9.257603821
9.038541841,9.258922198
9.040913655,9.25894421
9.045240317,9.259047867
9.056675144,9.260110165
9.060260927,9.26119536
9.063132008,9.262112781
9.068490767,9.262821536
9.069571477,9.262922013
9.074936071,9.263612484
9.081057133,9.263702787
9.095877716,9.264715847
9.098847079,9.265178786
9.101059677,9.265835856
9.101230402,9.266765262
9.102545665,9.267256609
9.105630354,9.267657778
9.11217955,9.267747837
9.116799567,9.270086443
9.117982955,9.275543272
9.121968528,9.27704513
9.124732538,9.279281158
9.124883694,9.283150562
9.128182285,9.283218551
9.131415024,9.283829817
9.140267189,9.288069996
9.142395192,9.288761797
9.14650758,9.289943642
9.151810717,9.290286127
9.157052331,9.291346076
9.158179237,9.292718572
9.162042297,9.294548662
9.163923993,9.29917443
9.164383246,9.29965158
9.166783932,9.301272248
9.166873211,9.302005426
9.167631178,9.302916253
9.169645869,9.303053663
9.169913303,9.305172805
9.174508389,9.305585501
9.177419915,9.306836859
9.185191492,9.308068119
9.194601669,9.308212015
9.195380441,9.308872813
9.196056963,9.312377025
9.196375261,9.312707937
9.196408715,9.31285967
9.199036256,9.315849023
9.200444273,9.316046179
9.203094318,9.317032536
9.205446122,9.320005275
9.206679253,9.322528021
9.213323247,9.324670617
9.215012202,9.326572747
9.216360471,9.327103715
9.220189609,9.328836861
9.220929991,9.328928332
9.22138591,9.32899527
9.225351752,9.330124193
9.231940228,9.331865603
9.235004471,9.331931702
9.235367263,9.333168813
9.238573499,9.335119932
9.239543302,9.337390771
9.240512399,9.337856613
9.241185561,9.344040256
9.241649078,9.344071273
9.243554776,9.344490775
9.248012518,9.344684978
9.248090912,9.346937631
9.249188053,9.346937801
9.249261251,9.348311923
9.250476281,9.348698985
9.250990754,9.348976847
9.251699517,9.353548883
9.251860076,9.353872954
9.252083869,9.353880175
9.256429037,9.358240403
9.25659859,9.358590449
9.257638848,9.359822622
9.258494456,9.359889923
9.258946133,9.360386545
9.262439178,9.360389451
9.265693912,9.360549227
9.268115389,9.361047443
9.27222022,9.362862789
9.274154389,9.364097613
9.277498347,9.365114491
9.28257312,9.365256583
9.282653189,9.368409199
9.283373021,9.368854374
9.28378832,9.373962001
9.284014861,9.374925676
9.284530492,9.378172543
9.285917999,9.378914139
9.286062326,9.381222743
9.287832927,9.384279139
9.288590303,9.386998022
9.292267165,9.387323602
9.294408978,9.388840758
9.294527808,9.390485997
9.294710809,9.391330076
9.296432317,9.392077286
9.300364902,9.39297397
9.303413201,9.392999233
9.304547762,9.395420564
9.304863385,9.396930973
9.305884577,9.396943417
9.313001335,9.397586526
9.314840516,9.39873738
9.315626048,9.399562023
9.318321107,9.399883536
9.324206911,9.400337979
9.325003015,9.400445886
9.325253132,9.400624115
9.32556231,9.401739675
9.326430738,9.402329777
9.328349576,9.402789164
9.329200713,9.40510112
9.331130048,9.406208458
9.331414448,9.408604702
9.331833284,9.40907799
9.333068921,9.41230095
9.333149913,9.412660361
9.336131573,9.412901408
9.336574879,9.413010499
9.337784067,9.413205158
9.337930345,9.413590574
9.339834919,9.413731454
9.341113597,9.413883812
9.344598246,9.414515629
9.345330687,9.417001116
9.347225846,9.417552736
9.348808691,9.420347363
9.3489199,9.420795899
9.349057154,9.421652513
9.349660169,9.421945629
9.352303627,9.422047856
9.352529714,9.423134726
9.353146512,9.423353146
9.353710891,9.425654911
9.353782854,9.425835472
9.354971369,9.425894277
9.3553702,9.4277531
9.356293443,9.428674212
9.358176867,9.428714908
9.358773446,9.430483449
9.359083586,9.431623817
9.360250877,9.434660074
9.360946451,9.435696803
9.364696322,9.437384752
9.365382275,9.437819252
9.365861955,9.438215116
9.370324043,9.438494854
9.375047967,9.439617081
9.37582595,9.441445586
9.376759106,9.443529665
9.377100229,9.444264123
9.377539581,9.444418871
9.377695607,9.444689897
9.378637211,9.444796885
9.38290493,9.445180414
9.383611958,9.445330326
9.383822048,9.445438266
9.385379664,9.44650972
9.386233581,9.448088608
9.386583313,9.448269323
9.387567792,9.448441464
9.387650824,9.449291437
9.388860492,9.449764316
9.390294542,9.449766415
9.390946083,9.449806229
9.391026374,9.450016609
9.391487035,9.450258268
9.39225587,9.450323074
9.394536937,9.451385272
9.394658253,9.45199019
9.394759621,9.452347158
9.394846963,9.452935612
9.395448405,9.454301715
9.397626307,9.455019109
9.398987381,9.455824093
9.399119868,9.456459405
9.400640156,9.457071605
9.407081329,9.457539253
9.407902975,9.457674329
9.408992434,9.458275975
9.410456922,9.458848269
9.410890237,9.459250361
9.411144781,9.46089274
9.411232155,9.46128734
9.41201126,9.463113019
9.41347433,9.463116581
9.413864004,9.463696994
9.41472301,9.465455748
9.41602815,9.46577337
9.416978074,9.466627612
9.417013726,9.467452908
9.417621472,9.468349737
9.417649186,9.469380272
9.418917463,9.470415803
9.420990025,9.471293458
9.421983996,9.471872166
9.422067787,9.471920667
9.422542109,9.472197871
9.425172568,9.474180226
9.426560976,9.475132325
9.427630617,9.476539569
9.429814564,9.476819865
9.429958727,9.47694175
9.431413519,9.477840889
9.431895839,9.480555507
9.434201092,9.481510116
9.434259824,9.485561943
9.435260293,9.486779827
9.435328009,9.487717405
9.435419955,9.487964422
9.435457341,9.488882297
9.437295574,9.489523768
9.437563718,9.490465375
9.437619659,9.490730297
9.438027679,9.490877964
9.439473985,9.492472562
9.440435404,9.492618426
9.441672915,9.492656556
9.441888671,9.493568871
9.442079002,9.493583485
9.443101088,9.494637539
9.44382503,9.494799859
9.44662897,9.495284874
9.44667078,9.497360582
9.446816712,9.497416508
9.448476713,9.498950125
9.44896068,9.499065286
9.449591775,9.499463895
9.450584655,9.500469613
9.454106719,9.500610893
9.454227193,9.50163968
9.45596127,9.50169686
